Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
TIENDA D1 TURBO JESUS MORA,URABA,95661,2019/09/05,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO JUAN 23,URABA,95153,2019/07/30,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO LA PLAYA,URABA,97480,2020/02/10,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO LAS BRISAS,URABA,97481,2020/02/10,CANCELADA,2024/03/20,2024
TIENDA D1 TURBO MONTERREY,URABA,96453,2019/11/13,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO WAFFE,URABA,91916,2018/12/10,CANCELADA,2024/03/20,2024
TIENDA D1 TUTA,DUITAMA,92802,2019/01/11,ACTIVA,2025/03/04,2025
TIENDA D1 UBAQUE,BOGOTA,3288492,2020/09/24,ACTIVA,2025/03/07,2025
TIENDA D1 UBATÉ TRANSVERSAL,BOGOTA,3581872,2022/09/12,ACTIVA,2025/03/07,2025
TIENDA D1 UNICENTRO,MEDELLIN PARA ANTIOQUIA,50058302,2010/10/08,ACTIVA,2025/03/21,2025
TIENDA D1 UNICENTRO DE OCCIDENTE,BOGOTA,2855748,2017/08/16,ACTIVA,2025/03/07,2025
TIENDA D1 UNICO,BUCARAMANGA,9000686594,2024/11/20,ACTIVA,2025/03/28,2025
TIENDA D1 URAMITA,MEDELLIN PARA ANTIOQUIA,79229702,2024/04/01,ACTIVA,2025/03/21,2025
TIENDA D1 URIBIA,LA GUAJIRA,155194,2019/12/11,ACTIVA,2025/03/26,2025
TIENDA D1 URIBIA 2,LA GUAJIRA,174809,2022/12/13,ACTIVA,2025/03/26,2025
TIENDA D1 URRAO JAIPERA,MEDELLIN PARA ANTIOQUIA,78405402,2023/11/17,ACTIVA,2025/03/21,2025
TIENDA D1 URRAO VILLANUEVA,MEDELLIN PARA ANTIOQUIA,71406202,2020/12/22,ACTIVA,2025/03/21,2025
TIENDA D1 UTICA,FACATATIVA,146747,2020/11/11,ACTIVA,2025/03/19,2025
TIENDA D1 V ROSARIO MAYORISTA,CUCUTA,446844,2023/08/30,ACTIVA,2023/08/30,2023
TIENDA D1 VAL BUENAVENTURA MANGLARES,BUENAVENTURA,198940,2024/12/19,ACTIVA,2025/03/10,2025
TIENDA D1 VAL BUGA PALO BLANCO,BUGA,89018,2024/06/12,ACTIVA,2025/03/10,2025
TIENDA D1 VAL CALI ALTO MELENDEZ,CALI,1233791,2024/10/02,ACTIVA,2025/03/07,2025
