Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion,latitud,longitud,direccion
TIENDA ARA 550 EL COLEGIO CENTRO,GIRARDOT,91398,2018/11/29,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0792 SITIONUEVO CENTRO MAGDALENA,BARRANQUILLA,823975,2021/11/19,ACTIVA,2025/03/21,2025,10.7765422,-74.7213234,"27 #7-71, Sitionuevo, Magdalena, Colombia",10.7765422,-74.7213234,"27 #7-71, Sitionuevo, Magdalena, Colombia"
TIENDA ARA 0534 BOGOTA TERMINAL DE TRANSPORTES,BOGOTA,3043782,2018/12/06,ACTIVA,2025/03/20,2025,4.6523841,-74.11232249999999,"278A06_GM_Ciudad Salitre 3ra Etapa, Bogotá, Colombia",4.6523841,-74.11232249999999,"278A06_GM_Ciudad Salitre 3ra Etapa, Bogotá, Colombia"
TIENDA ARA 1611 BOGOTA TEUSAQUILLO SALITRE AV FERROCARRIL,BOGOTA,3939547,2025/03/21,ACTIVA,2025/03/21,2025,4.6523841,-74.11232249999999,"278A06_GM_Ciudad Salitre 3ra Etapa, Bogotá, Colombia",4.6523841,-74.11232249999999,"278A06_GM_Ciudad Salitre 3ra Etapa, Bogotá, Colombia"
TIENDA ARA 0890 BOGOTÁ KENNEDY CARIMAGUA,BOGOTA,3463104,2021/12/17,ACTIVA,2025/03/20,2025,4.614873,-74.1453004,"37b Sur-46, Cra. 72n 37b Sur-43, Bogotá, Colombia",4.614873,-74.1453004,"37b Sur-46, Cra. 72n 37b Sur-43, Bogotá, Colombia"
TIENDA ARA 1282 BOGOTA KENNEDY CARVAJAL,BOGOTA,3655048,2023/03/21,ACTIVA,2025/03/20,2025,4.614873,-74.1453004,"37b Sur-46, Cra. 72n 37b Sur-43, Bogotá, Colombia",4.614873,-74.1453004,"37b Sur-46, Cra. 72n 37b Sur-43, Bogotá, Colombia"
TIENDA ARA 1548 ANTIOQUIA DON DIEGO - EL RETIRO,ORIENTE ANTIOQUENO,167704,2024/11/27,ACTIVA,2025/03/21,2025,6.0922041,-75.4802982,"3GR9+VV, Don Diego, Retiro, Antioquia, Colombia",6.0922041,-75.4802982,"3GR9+VV, Don Diego, Retiro, Antioquia, Colombia"
TIENDA ARA 0355 VENADILLO CENTRO,IBAGUE,282845,2017/08/17,ACTIVA,2025/03/21,2025,4.4117061,-75.1719861,"40TLC, Ibagué, Tolima, Colombia",4.4117061,-75.1719861,"40TLC, Ibagué, Tolima, Colombia"
TIENDA ARA 0490 IBAGUE LA CAROLINA,IBAGUE,293118,2018/06/26,ACTIVA,2025/03/21,2025,4.4117061,-75.1719861,"40TLC, Ibagué, Tolima, Colombia",4.4117061,-75.1719861,"40TLC, Ibagué, Tolima, Colombia"
TIENDA ARA 1123 IBAGUE PROTECHO,IBAGUE,374665,2024/08/09,ACTIVA,2025/03/21,2025,4.435289099999999,-75.21786809999999,"Cra. 4 Bis #33-65, Ibagué, Tolima, Colombia",4.435289099999999,-75.21786809999999,"Cra. 4 Bis #33-65, Ibagué, Tolima, Colombia"
TIENDA ARA 0926 CURUMANI CENTRO,AGUACHICA,62739,2022/06/13,ACTIVA,2025/03/21,2025,9.201215999999999,-73.5424723,"45, Curumaní, Cesar, Colombia",9.201215999999999,-73.5424723,"45, Curumaní, Cesar, Colombia"
TIENDA ARA 0793 LOS PATIOS SAN FERNANDO,CUCUTA,408038,2021/12/10,ACTIVA,2025/03/21,2025,7.815996399999999,-72.516126,"55, Los Patios, Norte de Santander, Colombia",7.815996399999999,-72.516126,"55, Los Patios, Norte de Santander, Colombia"
TIENDA ARA 1301 TIMANÁ CENTRO,HUILA,394179,2023/10/12,ACTIVA,2025/03/21,2025,1.8463812,-76.0452155,"Cra. 1A Bis #273, Pitalito, Huila, Colombia",1.8463812,-76.0452155,"Cra. 1A Bis #273, Pitalito, Huila, Colombia"
TIENDA ARA 1517 ANTIOQUIA RIONEGRO AUTOPISTA MEDELLIN BOGOTA,ORIENTE ANTIOQUENO,173394,2025/06/24,ACTIVA,2025/06/24,2025,6.198189999999999,-75.3824453,"60, Rionegro, Antioquia, Colombia",6.198189999999999,-75.3824453,"60, Rionegro, Antioquia, Colombia"
TIENDA ARA 0919 CHIMICHAGUA CALLE 5,VALLEDUPAR,193109,2022/08/02,ACTIVA,2025/03/21,2025,9.2535773,-73.8134252,"753P+FJ, Chimichagua, Cesar, Colombia",9.2535773,-73.8134252,"753P+FJ, Chimichagua, Cesar, Colombia"
TIENDA ARA 0813 SAN PEDRO DE URABA,URABA,107062,2021/12/10,ACTIVA,2025/03/20,2025,8.2766476,-76.38006519999999,"7JGC+P22, San Pedro de Uraba, Antioquia, Colombia",8.2766476,-76.38006519999999,"7JGC+P22, San Pedro de Uraba, Antioquia, Colombia"
TIENDA ARA 0952 BOGOTA FONTIBON LA FELICIDAD,BOGOTA,3534833,2022/05/26,ACTIVA,2025/03/20,2025,4.653803300000001,-74.1302688,"AV. Centenario - KR 78G, Bogotá, Colombia",4.653803300000001,-74.1302688,"AV. Centenario - KR 78G, Bogotá, Colombia"
TIENDA ARA 0817 ABREGO,OCANA,39895,2021/12/14,ACTIVA,2025/03/21,2025,8.0817641,-73.2203656,"Abrego, Norte de Santander, Colombia",8.0817641,-73.2203656,"Abrego, Norte de Santander, Colombia"
