Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
SUPERMERCADO JUSTO Y BUENO RESTREPO OCCIDENTAL,BOGOTA,3247695,2020/06/11,ACTIVA,2021/03/19,2021,4.1410403,-73.6392357,"Cra. 40 #27-36, Villavicencio, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO RINCON DE LOS ANDES,BOGOTA,3317284,2020/12/09,ACTIVA,2021/03/19,2021,4.7379894,-74.0300638,"Cra. 8f # 161 - 33, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO RIOHACHA LA UNION,LA GUAJIRA,160507,2020/12/07,ACTIVA,2021/02/12,2021,11.5501347,-72.90725929999999,"Cl. 7 # 5 - 67, Riohacha, La Guajira, Colombia"
SUPERMERCADO JUSTO Y BUENO RIONEGRO PARQUE,ORIENTE ANTIOQUENO,132287,2020/12/10,ACTIVA,2021/03/26,2021,6.128718,-75.3810094,"Cra. 55b #21 - 46, Rionegro, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO RIVERA,HUILA,319832,2018/11/07,ACTIVA,2021/03/19,2021,2.7789466,-75.2567807,"Cl. 5 #6-24, Rivera, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO ROBLES DE LA PAZ,VALLEDUPAR,168925,2020/02/20,ACTIVA,2021/02/17,2021,10.3871891,-73.1691027,"Cra. 8 # 07-17, La Paz, Cesar, Colombia"
SUPERMERCADO JUSTO Y BUENO ROMA,BOGOTA,3196057,2019/12/05,ACTIVA,2021/03/19,2021,4.3416657,-74.3616991,"Cl. 9 #6-11, Fusagasugá, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO ROVIRA,IBAGUE,281048,2017/07/06,ACTIVA,2021/03/23,2021,4.721260099999999,-74.92695170000002,"Cra. 5 #3-74, Ibagué, Venadillo, Tolima, Colombia"
SUPERMERCADO JUSTO Y BUENO SABANETA PARQUE,ABURRA SUR,230616,2020/06/23,ACTIVA,2021/03/30,2021,6.1499083,-75.6252601,"Urb. Río Secreto, Carrera 47E No. 77sur - 250 L6, Sabaneta, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO SALADO 2,IBAGUE,282855,2017/08/17,ACTIVA,2021/03/23,2021,10.6660405,-71.6137626,"entre Avenidas11 y 12 C. 76, Maracaibo 4002, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO SALADO BLANCO,HUILA,334777,2019/12/09,ACTIVA,2021/03/10,2021,1.9925178,-76.04507439999999,"Cra. 5 # 3 - 35, Saladoblanco, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO SALADO1,IBAGUE,278104,2017/04/17,ACTIVA,2021/03/23,2021,10.6660405,-71.6137626,"entre Avenidas11 y 12 C. 76, Maracaibo 4002, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO SAMACA,TUNJA,180536,2020/05/22,CANCELADA,2021/03/08,2021,5.493951,-73.48644949999999,"Cra. 5 # 116-126, Samacá, Boyacá, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN AGUSTÍN,HUILA,302606,2017/09/08,ACTIVA,2021/02/19,2021,1.8802745,-76.2694549,"CR 3, Neiva-San Agustín #9 23, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN ANDRES DE SOTAVENTO,MONTERIA,175565,2019/10/21,ACTIVA,2021/03/25,2021,9.1446661,-75.50858699999999,"Cra. 7 B # 8 - 29, San Andrés de Sotavento, Córdoba, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN ANDRESITO LA 38,BOGOTA,2674199,2016/04/08,ACTIVA,2021/03/19,2021,4.6163937,-74.1031074,"Cl. 9 #38-50, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN ANTONIO,BOGOTA,3215768,2020/02/07,ACTIVA,2021/03/19,2021,4.7062477,-74.200627,"el Hato, Cra. 2 #19-02, Funza, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN BENITO,BOGOTA,3279940,2020/09/04,ACTIVA,2021/03/19,2021,10.6879164,-71.6768591,"M8QF+56G, Maracaibo 4005, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO SAN DIEGO CESAR,VALLEDUPAR,174789,2020/10/01,ACTIVA,2021/02/17,2021,10.3401202,-73.1775953,"Cl. 3 # 3 - 74, San Diego, Cesar, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN JOSE DEL FRAGUA,FLORENCIA PARA EL CAQUETA,112529,2019/12/11,ACTIVA,2021/01/22,2021,1.32898,-75.974001,"Calle 3 # 3 - 31, San José Del Fragua, San José Del Fragüa, Caquetá, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN JOSE LA GRANJA,SAN JOSE,24069,2020/12/14,ACTIVA,2021/03/09,2021,10.6660405,-71.6137626,"entre Avenidas11 y 12 C. 76, Maracaibo 4002, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO SAN JOSE PORVENIR,SAN JOSE,24070,2020/12/14,ACTIVA,2021/03/09,2021,4.1469661,-73.6180147,"Calle 35 #17-25 Este, Villavicencio, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN JOSE SPRING,BOGOTA,2776148,2017/02/03,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN JOSE SUR,BOGOTA,3105971,2019/04/30,ACTIVA,2021/03/19,2021,10.6660405,-71.6137626,"entre Avenidas11 y 12 C. 76, Maracaibo 4002, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO SAN PEDRO ALEJANDRINO,IBAGUE,273487,2016/12/07,ACTIVA,2021/03/23,2021,4.434595499999999,-75.2290527,"Cra. 2 #26-35, Ibagué, Tolima, Colombia"
SUPERMERCADO JUSTO Y BUENO SAN PELAYO,MONTERIA,181006,2020/08/11,ACTIVA,2021/03/29,2021,8.955784999999999,-75.8389547,"Cra. 7 # 4 - 54, San Pelayo, Córdoba, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTA BARBARA,BOGOTA,3283317,2020/09/11,ACTIVA,2021/03/19,2021,4.7031347,-74.053928,"Cra. 45 #122-56, Usaquén, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTA BEATRIZ,BOGOTA,3308603,2020/11/12,ACTIVA,2021/03/19,2021,4.1158094,-73.5999298,"Santa Isabel 2, Cam. Ganadero, Villavicencio, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTA HELENITA,BOGOTA,3194290,2019/11/28,ACTIVA,2021/03/19,2021,4.6935316,-74.1032455,"Cl 72 #81a27, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTA MARIA DEL LAGO,BOGOTA,3105967,2019/04/30,ACTIVA,2021/03/19,2021,4.696075,-74.09116900000001,"Cra. 73a # 77A - 94, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTA TERESITA LA 45,BOGOTA,3307298,2020/11/09,ACTIVA,2021/03/19,2021,4.7449615,-74.02271540000001,"Cl. 167d #7-26, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTANDER,BOGOTA,2694495,2016/06/03,ACTIVA,2021/03/19,2021,3.0055348,-76.4851905,"Cl. 2 #1169, Santander de Quilichao, Cauca, Colombia"
SUPERMERCADO JUSTO Y BUENO SANTUARIO PARQUE,ORIENTE ANTIOQUENO,132607,2021/01/06,ACTIVA,2021/01/06,2021,4.8661012,-73.8767727,"Cl. 4 #2-33, Guasca, Cundinamarca, Colombia"
