ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
566,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,41.5,4.5,0.0,1.0
564,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60.0,7.0,0.0,1.0
548,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.75,44.25,6.0,0.0,4.0
550,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,34.833332,4.0,0.0,6.0
552,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6,43.2,4.4,0.0,4.0
551,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3809524,39.285713,4.3809524,0.0,20.0
786,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,37.0,3.5714285,1.0,6.0
787,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
788,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,39.0,3.5,0.0,1.0
781,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,30.571428,3.142857,0.0,7.0
783,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,39.0,2.0,0.0,1.0
784,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,59.666668,2.6666667,1.0,2.0
780,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,38.0,12.0,0.0,1.0
779,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,36.0,6.2,0.0,4.0
785,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,28.25,3.5,1.0,3.0
765,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30.0,8.0,0.0,2.0
557,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.16666667,39.333332,4.1666665,0.0,6.0
248,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,43.066666,8.266666,0.0,13.0
244,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.1,48.2,6.4,1.0,9.0
264,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.45454547,49.090908,6.0,2.0,9.0
265,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
158,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,41.0,5.6666665,1.0,5.0
250,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,50.5,5.0,0.0,2.0
266,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
484,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
479,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55.0,9.0,0.0,1.0
478,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54.0,9.0,0.0,2.0
477,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,53.714287,8.285714,0.0,7.0
485,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,36.75,4.75,1.0,3.0
156,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46.0,3.0,0.0,2.0
157,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
243,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,30.5,9.0,0.0,2.0
263,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,48.857143,9.428572,3.0,4.0
262,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,57.0,8.333333,0.0,3.0
261,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,45.1,9.0,3.0,7.0
260,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.15384616,46.153847,9.538462,3.0,10.0
245,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4090909,40.863636,8.363636,0.0,20.0
252,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.35714287,49.07143,6.642857,0.0,13.0
253,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.26666668,37.6,8.533334,0.0,14.0
847,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.32692307,45.365383,7.980769,3.0,49.0
251,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,38.166668,8.5,0.0,5.0
482,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,37.0,4.0,0.0,1.0
475,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,40.25,8.0,0.0,4.0
458,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3783784,45.351353,8.081081,1.0,36.0
476,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,39.75,6.75,0.0,4.0
480,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
456,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.40625,48.15625,7.8125,1.0,28.0
993,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.375,46.55357,7.214286,0.0,51.0
350,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,55.333332,8.333333,0.0,3.0
486,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38.5,3.0,0.0,2.0
487,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,25.0,5.0,0.0,0.0
155,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,51.4,9.2,0.0,10.0
151,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3809524,43.857143,8.142858,1.0,20.0
259,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4375,44.8125,9.4375,3.0,29.0
149,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,35.4,8.4,0.0,5.0
150,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,40.857143,8.857142,0.0,7.0
258,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3181818,42.545456,7.5454545,1.0,20.0
257,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.46666667,45.933334,9.8,1.0,14.0
256,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,36.142857,7.904762,0.0,16.0
242,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5263158,39.789474,8.315789,0.0,16.0
488,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,43.5,7.0,0.0,2.0
473,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,36.0,4.3333335,0.0,3.0
